name,category,originalPrice,currentPrice,stock,sku,brand,description,images,tags,features,size,netQuantity,capacity,skinType,gender,countryOfOrigin,sellerName,sellerRating,freeDelivery,codAvailable
Biotique Bio Cucumber Pore Tightening Toner,Skincare,200,149,100,BIO-001,Biotique,Refreshing toner for all skin types.,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=500&q=80,toner/face,pore tightening,120ml,120ml,120ml,Oily,Unisex,India,Sharans Official,4.8,true,true
Mamaearth Vitamin C Face Wash,Skincare,349,299,150,MAMA-002,Mamaearth,Vitamin C face wash for glowing skin.,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?auto=format&fit=crop&w=500&q=80,face wash/vitamin c,glowing skin,100ml,100ml,100ml,All,Unisex,India,Mamaearth,4.7,true,true
Neutrogena Hydro Boost Water Gel,Skincare,950,850,50,NEUT-003,Neutrogena,Lightweight moisturizer with hyaluronic acid.,https://images.unsplash.com/photo-1611930022073-b7a4ba5fcccd?auto=format&fit=crop&w=500&q=80,moisturizer/hydration,lightweight,50g,50g,50g,Dry,Unisex,USA,Sharans Imports,4.9,true,true
Dove Intense Repair Shampoo,Hair Care,400,320,200,DOVE-004,Dove,Repairing shampoo for damaged hair.,https://images.unsplash.com/photo-1629198688000-71f23e745b6e?auto=format&fit=crop&w=500&q=80,shampoo/repair,smooth hair,340ml,340ml,340ml,Damaged,Unisex,India,Dove Official,4.6,true,true
L'Oreal Paris Extraordinary Oil Serum,Hair Care,599,499,80,LOR-005,L'Oreal Paris,Hair serum for frizz-free hair.,https://images.unsplash.com/photo-1620916297397-a4a5402a3c6c?auto=format&fit=crop&w=500&q=80,serum/hair,frizz control,100ml,100ml,100ml,Frizzy,Women,France,Sharans Beauty,4.8,true,true
Maybelline New York Colossal Kajal,Makeup,249,199,300,MAY-006,Maybelline,Long lasting waterproof kajal.,https://images.unsplash.com/photo-1596462502278-27bfdd403cc2?auto=format&fit=crop&w=500&q=80,kajal/eye,waterproof,0.35g,0.35g,,All,Women,USA,Sharans Beauty,4.7,true,true
Lakme 9 to 5 Primer + Matte Lipstick,Makeup,499,450,100,LAK-007,Lakme,Matte lipstick with built-in primer.,https://images.unsplash.com/photo-1586495777744-4413f21062fa?auto=format&fit=crop&w=500&q=80,lipstick/matte,long lasting,3.6g,3.6g,,All,Women,India,Lakme Official,4.5,true,true
Nivea Men Dark Spot Reduction Face Wash,Men's Grooming,250,199,120,MEN-008,Nivea Men,Face wash for men for clear skin.,https://images.unsplash.com/photo-1621607512214-68297f3190ef?auto=format&fit=crop&w=500&q=80,face wash/men,dark spot reduction,100g,100g,100g,All,Men,Germany,Sharans Men,4.5,true,true
Beardo Godfather Beard Oil,Men's Grooming,350,299,80,MEN-009,Beardo,Nourishing oil for beard growth.,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=500&q=80,beard oil,growth,30ml,30ml,30ml,All,Men,India,Beardo Official,4.6,true,true
Khadi Natural Herbal Hair Colour,Natural,200,180,150,NAT-010,Khadi Natural,Ammonia free herbal hair colour.,https://images.unsplash.com/photo-1556228722-dca85243163a?auto=format&fit=crop&w=500&q=80,hair colour/herbal,ammonia free,150g,150g,,All,Unisex,India,Khadi,4.4,true,true
